Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-07-21,2014,7,21,Monday,29,2014-29,217.25,223.21,216.72,220.54,3822200,220.54,0.002363371527926761,222.8700000000001,214.07399999999998
2014-07-22,2014,7,22,Tuesday,29,2014-29,222.19,223.3,219.11,219.58,2730000,219.58,-0.004352913232533839,221.43142857142865,214.82039999999998
2014-07-23,2014,7,23,Wednesday,29,2014-29,220.01,224.75,219.43,222.49,3083300,222.49,0.013252589661367775,220.9357142857144,215.57679999999996
2014-07-24,2014,7,24,Thursday,29,2014-29,223.25,225.1,220.8,223.54,3245500,223.54,0.004719258245517111,220.52785714285727,216.24439999999998
2014-07-25,2014,7,25,Friday,29,2014-29,222.72,226.97,221.75,223.57,3087100,223.57,0.00013426697229745876,220.5928571428573,216.90339999999998
2014-07-28,2014,7,28,Monday,30,2014-30,224.25,232.0,221.4,224.82,6514300,224.82,0.005591089855748299,221.00357142857158,217.62799999999996
2014-07-29,2014,7,29,Tuesday,30,2014-30,226.61,228.3,224.86,225.01,3382400,225.01,0.0008450635015913033,221.1428571428573,218.29699999999997
2014-07-30,2014,7,30,Wednesday,30,2014-30,221.92,229.6,221.04,228.92,4927800,228.92,0.017377022165966816,221.8185714285716,218.95359999999997
2014-07-31,2014,7,31,Thursday,30,2014-30,229.26,231.4,221.5,223.3,7749100,223.3,-0.024550040023326725,222.18785714285733,219.51359999999997
2014-08-01,2014,8,1,Friday,30,2014-30,226.09,237.5,226.0,233.27,11895800,233.27,0.04464845984973964,222.65714285714304,220.18999999999997
2014-08-04,2014,8,4,Monday,31,2014-31,234.38,240.5,233.27,238.52,5959700,238.52,0.022506108388749224,224.0100000000002,220.8628
2014-08-05,2014,8,5,Tuesday,31,2014-31,237.47,242.99,235.69,238.49,5388600,238.49,-0.000125770496224753,225.53357142857163,221.4866
2014-08-06,2014,8,6,Wednesday,31,2014-31,238.9,251.42,238.58,248.93,9249300,248.93,0.04377536560087192,227.92857142857162,222.234
2014-08-07,2014,8,7,Thursday,31,2014-31,250.12,256.69,249.12,252.39,7478900,252.39,0.013899517196281241,230.24071428571446,223.077
2014-08-08,2014,8,8,Friday,31,2014-31,251.16,251.76,246.5,248.13,5090100,248.13,-0.016878618475921536,232.21142857142877,223.8348
2014-08-11,2014,8,11,Monday,32,2014-32,255.48,263.74,255.0,259.32,8101300,259.32,0.04509733696531826,235.0500000000002,224.86579999999998
2014-08-12,2014,8,12,Tuesday,32,2014-32,258.08,260.3,254.58,259.96,6382300,259.96,0.0024679319481093476,237.72642857142878,225.97099999999995
2014-08-13,2014,8,13,Wednesday,32,2014-32,262.01,265.64,259.61,260.31,6932600,260.31,0.001346384501540232,240.35285714285735,227.07839999999993
2014-08-14,2014,8,14,Thursday,32,2014-32,262.49,263.0,256.5,261.38,4126600,261.38,0.004110511829181318,243.05357142857162,228.22619999999992
2014-08-15,2014,8,15,Friday,32,2014-32,261.48,262.09,258.5,262.01,3867900,262.01,0.002410302513748075,245.7100000000002,229.32839999999993
2014-08-18,2014,8,18,Monday,33,2014-33,263.25,267.26,259.75,259.94,5849200,259.94,-0.007900489473934291,248.20500000000018,230.36379999999994
2014-08-19,2014,8,19,Tuesday,33,2014-33,258.87,259.33,251.62,256.76,5334800,256.76,-0.012233564075995074,250.19357142857163,231.39279999999997
2014-08-20,2014,8,20,Wednesday,33,2014-33,254.67,258.74,253.0,255.71,3027900,255.71,-0.004089433758459049,252.50857142857163,232.46099999999996
2014-08-21,2014,8,21,Thursday,33,2014-33,256.52,258.8,253.26,254.34,2915600,254.34,-0.00535767212860605,254.01357142857162,233.45839999999995
2014-08-22,2014,8,22,Friday,33,2014-33,254.54,256.95,252.61,256.78,2833400,256.78,0.009593467313590454,255.31785714285735,234.52359999999996
2014-08-25,2014,8,25,Monday,34,2014-34,258.19,263.68,258.19,262.55,4318100,262.55,0.022470554720390057,257.03642857142876,235.64619999999996
2014-08-26,2014,8,26,Tuesday,34,2014-34,264.98,265.5,261.66,261.74,3818000,261.74,-0.003085117487160116,257.9514285714288,236.38879999999995
2014-08-27,2014,8,27,Wednesday,34,2014-34,263.5,264.24,260.29,263.25,2985100,263.25,0.005769121349293416,258.72714285714306,237.02039999999994
2014-08-28,2014,8,28,Thursday,34,2014-34,261.89,264.48,261.64,263.86,2844900,263.86,0.002317133339268862,259.8507142857145,237.75519999999995
2014-08-29,2014,8,29,Friday,34,2014-34,268.7,272.0,267.51,269.7,6447100,269.7,0.022133052299262435,260.5921428571431,238.59339999999992
2014-09-02,2014,9,2,Tuesday,35,2014-35,275.5,284.89,274.3,284.12,9852400,284.12,0.053466749193496366,262.31785714285735,239.68399999999994
2014-09-03,2014,9,3,Wednesday,35,2014-35,287.67,288.0,280.1,281.19,6772300,281.19,-0.010312518394112846,263.8092857142859,240.56339999999997
2014-09-04,2014,9,4,Thursday,35,2014-35,284.01,291.42,280.4,286.04,8341700,286.04,0.017248145600504694,265.5707142857145,241.6342
2014-09-05,2014,9,5,Friday,35,2014-35,282.55,282.9,272.51,277.39,11169900,277.39,-0.03024050355922825,266.6692857142859,242.4442
2014-09-08,2014,9,8,Monday,36,2014-36,277.62,284.88,277.52,282.11,5501600,282.11,0.017015647477819584,268.25285714285735,243.37439999999998
2014-09-09,2014,9,9,Tuesday,36,2014-36,282.99,285.49,277.0,278.48,4558800,278.48,-0.012867231057811512,269.8042857142859,244.16279999999998
2014-09-10,2014,9,10,Wednesday,36,2014-36,279.5,281.41,273.66,281.1,3781300,281.1,0.00940819812491367,271.61785714285736,244.9836
2014-09-11,2014,9,11,Thursday,36,2014-36,280.46,284.79,278.63,280.31,3766100,280.31,-0.002810418099496448,273.4728571428573,245.7954
2014-09-12,2014,9,12,Friday,36,2014-36,280.5,282.39,277.0,279.2,3324600,279.2,-0.003959849314081221,275.0742857142859,246.79080000000002
2014-09-15,2014,9,15,Monday,37,2014-37,274.37,274.4,249.13,253.86,16455400,253.86,-0.09075934988817147,274.4535714285716,247.28300000000002
2014-09-16,2014,9,16,Tuesday,37,2014-37,255.15,262.46,252.42,260.74,8300100,260.74,0.027101511098566178,274.38214285714304,248.04460000000003
2014-09-17,2014,9,17,Wednesday,37,2014-37,262.41,264.7,259.5,261.38,5177700,261.38,0.0024546086998860073,274.2485714285716,248.8908
2014-09-18,2014,9,18,Thursday,37,2014-37,263.36,265.6,262.32,263.82,3692600,263.82,0.009335076883559612,274.2457142857144,249.70600000000002
2014-09-19,2014,9,19,Friday,37,2014-37,257.99,261.43,255.27,259.32,6810900,259.32,-0.017057083902168868,273.50428571428586,250.50320000000002
